L.x,F.x,R.x,N.x,T.x,country,ID_fine,ID,plot.x,div.x,rich.x,L.y,F.y,R.y,N.y,T.y,div.y,rich.y,n_nh4,n_no3,ID_site,latitude,longitude,survey_year,code_country,sum_canopy,mean_temp,mean_summer_temp,mean_winter_temp,mean_precip,n,p,N.P,species_name,grp_tree_species,ID_siteplot
1.6282837127845886,5.0853765323993,3.752626970227671,3.68476357267951,4.078809106830123,Austria,1995_14_9_1,1995_14_9,1,1.7821621831889254,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,14_9,48.0716,16.0252,1995,14,NA,7.8,16.8,-1.5,745,13.86,1,13.86,Fagus sylvatica,broadleaves,14_9_1
0.9400921658986174,4.997235023041474,2.014746543778802,1.8562211981566823,4.808294930875576,Austria,1995_14_9_2,1995_14_9,2,1.083108122900133,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,14_9,48.0716,16.0252,1995,14,NA,7.8,16.8,-1.5,745,13.86,1,13.86,NA,broadleaves,14_9_2
1.1627653783342404,5.083287969515515,2.768644529123571,2.7751769188894935,4.072400653238977,Austria,1995_14_9_3,1995_14_9,3,1.4995267601347382,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,14_9,48.0716,16.0252,1995,14,NA,7.8,16.8,-1.5,745,13.86,1,13.86,Fagus sylvatica,broadleaves,14_9_3
0.68646408839779,5.011049723756906,1.8604972375690607,1.6077348066298345,4.837016574585635,Austria,1995_14_9_4,1995_14_9,4,0.8942229105404143,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,14_9,48.0716,16.0252,1995,14,NA,7.8,16.8,-1.5,745,13.86,1,13.86,NA,broadleaves,14_9_4
5.0588235294117645,2.411764705882353,2.4705882352941178,3.941176470588235,1.176470588235294,Czech Republic,1995_58_2029_1,1995_58_2029,1,1.8864851602714512,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,58_2029,50.3339,15.5723,1995,58,NA,7.9,16.8,-1.8,598,14.28,1.65,8.654545454545454,Picea abies,conifers,58_2029_1
5.322580645161291,1.6129032258064515,2.290322580645161,3.2741935483870965,0.04838709677419355,Czech Republic,1995_58_2161_1,1995_58_2161,1,0.7808469070509421,4,5.681818181818182,3.9545454545454546,1.8636363636363635,2.090909090909091,2.8636363636363633,0.36764947740014225,3,NA,NA,58_2161,49.4031,15.1347,1995,58,NA,7,15.7,-2,691,13.03,2,6.515,Picea abies,conifers,58_2161_1
5.679596121163651,0.8308507447765673,1.7858642407277814,3.2505248425472355,0.6752974107767671,Czech Republic,1995_58_521_1,1995_58_521,1,1.3041016196673896,14,0,0,0,4,0,0,1,NA,NA,58_521,50.0236,12.373,1995,58,NA,7.2,15.7,-1.8,626,NA,NA,NA,Picea abies,conifers,58_521_1
5.624479935579116,0.47711716548114347,1.993692121862837,3.1013286807139977,0.6442088310293919,Czech Republic,1995_58_531_1,1995_58_531,1,1.3314354384587381,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,58_531,50.1055,17.0434,1995,58,NA,4.8,13,-3.9,773,15.37,2.09,7.354066985645933,Picea abies,conifers,58_531_1
5.37036296370363,1.084891510848915,2.4150584941505846,2.844815518448155,2.344965503449655,Czech Republic,1995_58_541_1,1995_58_541,1,1.4668060099395954,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,58_541,50.0608,17.124,1995,58,NA,6,14.4,-2.9,698,15.47,1.85,8.362162162162162,Picea abies,conifers,58_541_1
5.375,3.25,2.375,4.25,2.875,Czech Republic,1995_58_551_1,1995_58_551,1,2.0794415416798357,8,0,0,0,4,0,0,1,NA,NA,58_551,49.2723,15.4639,1995,58,NA,7,15.7,-2.1,691,12.62,1.61,7.838509316770185,Picea abies,conifers,58_551_1
3.090909090909091,3.909090909090909,1.8181818181818183,2,1.0909090909090908,France,1995_1_1_11,1995_1_1,11,1.2882523050229002,4,5.477611940298508,5.029850746268657,4.6268656716417915,3.656716417910448,3.701492537313433,1.0180459503906718,4,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_11
3.8,4.800000000000001,4,4.4,3.6000000000000005,France,1995_1_1_12,1995_1_1,12,1.6094379124341005,5,4.888888888888889,5.333333333333334,4.666666666666667,4,4.222222222222222,0.9950269901795212,3,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_12
4,5.133333333333333,2.9333333333333336,4,1.4666666666666668,France,1995_1_1_13,1995_1_1,13,1.709472776584213,6,4.523809523809524,5.5476190476190474,4.166666666666666,4.095238095238095,3.9285714285714284,0.8920364055375217,4,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_13
1.5555555555555556,4.777777777777778,1.3333333333333333,2,1.1111111111111112,France,1995_1_1_14,1995_1_1,14,0.9950269901795212,3,5.477611940298508,5.029850746268657,4.6268656716417915,3.656716417910448,3.701492537313433,1.0180459503906718,4,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_14
3.333333333333333,3.9999999999999996,5,4,2,France,1995_1_1_15,1995_1_1,15,1.0986122886681096,3,5.333333333333333,5,5,4,4.333333333333333,1.0986122886681096,3,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_15
4.285714285714286,4.285714285714286,5,4.285714285714286,3.1428571428571423,France,1995_1_1_16,1995_1_1,16,1.9459101490553132,7,4.857142857142858,5.428571428571429,4.285714285714286,3.7142857142857144,3.7142857142857144,0.5982695885852573,2,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_16
3.4,4.2,4.2,4.2,3.4000000000000004,France,1995_1_1_17,1995_1_1,17,1.6094379124341005,5,4.888888888888889,5.333333333333334,4.666666666666667,4,4.222222222222222,0.9950269901795212,3,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_17
3.2,4.333333333333333,3.8666666666666663,3.1999999999999997,2.2666666666666666,France,1995_1_1_18,1995_1_1,18,1.709472776584213,6,4.916666666666667,5.25,5,4.25,4.666666666666667,1.0281838593329258,3,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_18
5.25,2.375,3,2.75,2.75,France,1995_1_1_21,1995_1_1,21,2.0794415416798357,8,5.477611940298508,5.029850746268657,4.6268656716417915,3.656716417910448,3.701492537313433,1.0180459503906718,4,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_21
5.263157894736842,3.5789473684210527,1.1052631578947367,3.8947368421052633,0.9473684210526315,France,1995_1_1_22,1995_1_1,22,0.806504609875222,5,4.888888888888889,5.333333333333334,4.666666666666667,4,4.222222222222222,0.9950269901795212,3,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_22
5.341463414634147,3.8048780487804876,0.975609756097561,4.195121951219512,0.43902439024390244,France,1995_1_1_23,1995_1_1,23,0.9271819668166289,5,4.523809523809524,5.5476190476190474,4.166666666666666,4.095238095238095,3.9285714285714284,0.8920364055375217,4,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_23
4.857142857142857,3.5714285714285716,1.3333333333333333,3.8095238095238093,1,France,1995_1_1_24,1995_1_1,24,1.1102008655075586,7,5.477611940298508,5.029850746268657,4.6268656716417915,3.656716417910448,3.701492537313433,1.0180459503906718,4,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_24
5.27027027027027,3.5135135135135136,1.1891891891891893,3.9459459459459465,0.32432432432432434,France,1995_1_1_25,1995_1_1,25,0.598231280937331,3,5.333333333333333,5,5,4,4.333333333333333,1.0986122886681096,3,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_25
5.000000000000002,3.7826086956521743,1.7391304347826089,3.956521739130435,1.173913043478261,France,1995_1_1_26,1995_1_1,26,1.3693745195581433,9,4.857142857142858,5.428571428571429,4.285714285714286,3.7142857142857144,3.7142857142857144,0.5982695885852573,2,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_26
5.157894736842106,3.736842105263158,1.1052631578947367,4,1.1578947368421053,France,1995_1_1_27,1995_1_1,27,0.806504609875222,5,4.888888888888889,5.333333333333334,4.666666666666667,4,4.222222222222222,0.9950269901795212,3,NA,NA,1_1,48.2051,4.1817,1995,1,NA,10.5,17.8,2.8,667,29.4,1.23,23.902439024390244,Quercus robur,broadleaves,1_1_27
